S,family,base,strategy,n_DMC,n_bank,min_mean,bks_per_dmc,bank8,maxload,minload,note
512KiB,align2MiB,REL_DIFF,shear,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512KiB,align2MiB,REL_DIFF,sbox,3.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
4608B,grain512,0x0,sns,384,10523,0.7000,20-34,7,53,28,4608B alone
4608B,grain512,0x200,sns,384,10552,0.7000,20-34,7,53,28,4608B alone
4608B,grain512,0x400,sns,384,10552,0.7000,20-34,7,53,28,4608B alone
4608B,grain512,0x600,sns,384,10519,0.7000,20-34,7,53,28,4608B alone
4608B,grain512,0xe00,sns,384,10544,0.7000,20-34,7,53,28,4608B alone
4608B,grain512,0x1e00,sns,384,10515,0.7000,20-34,7,53,28,4608B alone
4608B,grain512,0x3e00,sns,384,10547,0.7000,20-34,7,53,28,4608B alone
4608B,grain512,0x7e00,sns,384,10523,0.7000,20-34,7,53,28,4608B alone
4608B,grain512,0x0,mod384,128,128,1.0000,1-1,1,120,120,4608B alone
4608B,grain512,0x200,mod384,128,128,1.0000,1-1,1,120,120,4608B alone
4608B,grain512,0x400,mod384,128,128,1.0000,1-1,1,120,120,4608B alone
4608B,grain512,0x600,mod384,128,128,1.0000,1-1,1,120,120,4608B alone
4608B,grain512,0xe00,mod384,128,128,1.0000,1-1,1,120,120,4608B alone
4608B,grain512,0x1e00,mod384,128,128,1.0000,1-1,1,120,120,4608B alone
4608B,grain512,0x3e00,mod384,128,128,1.0000,1-1,1,120,120,4608B alone
4608B,grain512,0x7e00,mod384,128,128,1.0000,1-1,1,120,120,4608B alone
4608B,grain512,0x0,low,384,384,0.7500,1-1,1,60,30,4608B alone
4608B,grain512,0x200,low,384,384,0.7500,1-1,1,60,30,4608B alone
4608B,grain512,0x400,low,384,384,0.7500,1-1,1,60,30,4608B alone
4608B,grain512,0x600,low,384,384,0.7500,1-1,1,60,30,4608B alone
4608B,grain512,0xe00,low,384,384,0.7500,1-1,1,60,30,4608B alone
4608B,grain512,0x1e00,low,384,384,0.7500,1-1,1,60,30,4608B alone
4608B,grain512,0x3e00,low,384,384,0.7500,1-1,1,60,30,4608B alone
4608B,grain512,0x7e00,low,384,384,0.7500,1-1,1,60,30,4608B alone
4608B,grain512,0x0,high,34,34,0.7548,1-1,1,456,341,4608B alone
4608B,grain512,0x200,high,34,34,0.7548,1-1,1,456,341,4608B alone
4608B,grain512,0x400,high,34,34,0.7548,1-1,1,456,341,4608B alone
4608B,grain512,0x600,high,34,34,0.7548,1-1,1,456,341,4608B alone
4608B,grain512,0xe00,high,34,34,0.7570,1-1,1,456,342,4608B alone
4608B,grain512,0x1e00,high,34,34,0.7592,1-1,1,456,343,4608B alone
4608B,grain512,0x3e00,high,34,34,0.7615,1-1,1,456,344,4608B alone
4608B,grain512,0x7e00,high,34,34,0.7703,1-1,1,456,348,4608B alone
4608B,grain512,0x0,shear,200,840,0.0130,1-6,1,124,1,4608B alone
4608B,grain512,0x200,shear,201,841,0.0131,1-6,1,124,1,4608B alone
4608B,grain512,0x400,shear,201,841,0.0131,1-6,1,124,1,4608B alone
4608B,grain512,0x600,shear,201,841,0.0131,1-6,1,124,1,4608B alone
4608B,grain512,0xe00,shear,200,840,0.0130,1-6,1,124,1,4608B alone
